Identifier,Title,NLI 1,NLI 2,Name of Author,Sex of Author,Year of Publication,Publisher,Number of Pages,Sub-Genre,Division within the Novel,Typical Chapter Length,Excerpts of Other Genres,Division to Paragraphs on a Typical Page,Type of Narrator,Role of Narrator in the Plot,"Narrator's Gender, Age, Religion",Characters in the Novel,Communication in the Novel,Number of Plot-lines,Novel's Exposition,Key Events,Fillers,Other Languages Used,The Bodies of Texts to which the Novel Reffers,Readability,Chronological Scope of the Novel,Main Epoch(s),Main Space(s),Main Geographical Location(s),Names of Places in the Novel,"Centrality of Israel (State, Land)",Themes,Centrality of Love,Type of Love,Intergenerational Relationships,Centrality of war,Which War,Death,Grammatical Tense
KR.Books.0614,עשו,990012089750205171,"שלו, מאיר ",מאיר שלו,זכר,1991,עם עובד,,רומן היסטורי,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,"הטקסט מופיע כגוש אחד, ללא פסקאות",מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, יהודי.ה",שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח רבים יחסית,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",לדינו,"תנ""ך",1,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","אוהל, צריף, כפר","ישראל (ארץ, מדינה)","ירושלים, ארה""ב.",מרכזית,"אהבה, התבגרות, יחסים בין-דוריים, מצוקה גופנית, מחלה, יהדות, מסעות, נדודים, טיולים, ספרות וכתיבה, אוריינות",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,"אבות-בנים, אמהות-בנים",שולית,עצמאות,"שיבה טובה, מוות במלחמה, מות הילד מיכאל: פנטזיה ממומשת חסרת פשר",עבר
KR.Books.0615,עשו,990012089750205171,"שלו, מאיר ",מאיר שלו,זכר,1991,עם עובד,395,פנטזיה,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,גבר,משפחה. רב דורית,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, דיאלוגים מדומיינים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה","רוסית, גרמנית, ערבית, לדינו","תנ""ך, ספרות חז""ל (משנה, תלמוד, מדרש), מיתולוגיה יוונית",2,כמה עשורים,המחצית הראשונה של המאה ה-20,קשה להגדיר,"ישראל (ארץ, מדינה)","ירושלים, מושבה חקלאית בצפון ישראל",מרכזית,"אהבה, נישואין, חתונה, ילדות, התבגרות, סוף החיים, מוות, משפחה, זקנה, יחסים בין-דוריים, מצוקה גופנית, מחלה, מצוקה נפשית, יהדות, נצרות, יחסי ערבים-יהודים, יחסי יהודים - לא-יהודים, יחסי מזרחים-אשכנזים, תלישות, הגירה, ספרות וכתיבה, טבע וסביבה, ה""חדר"" (מוסד לימודי)",מרכזית,קשה להגדיר,"אבות-בנים, אבות-בנות, אמהות-בנים, אמהות-בנות, סבתות-נכדים, סבים-נכדות, סבים-נכדים",מרכזית,מלחמת העולם הראשונה,"מחלה, תאונה, מוות במלחמה",עבר
KR.Books.0616,עשו,990012089750205171,"שלו, מאיר ",מאיר שלו,זכר,1991,עם עובד,397,"רומן אוטוביוגרפי, סאגה משפחתית",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),"כן, שירים, כן, סיפורים קצרים","הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא אחת מן הדמויות המרכזיות בעלילה,"גבר, יהודי.ה",ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"תנ""ך",3,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","דירה, בית מגורים, כפר","ישראל (ארץ, מדינה), צפון אמריקה (ארצות הברית וקנדה)",ירושלים,מרכזית,"אהבה, נישואין, חתונה, ילדות, התבגרות, גיל העמידה, משפחה, זקנה, יחסים בין-דוריים, מצוקה גופנית, מחלה, בתי חולים, בתי אבות, מוסדות טיפוליים, ספרות וכתיבה",מרכזית,אהבה שנעה לקראת כשלון והתפרקות,"אבות-בנים, אבות-בנות, אמהות-בנים",שולית,,המוות אינו מרכזי ברומן,עבר
KR.Books.0617,עשרת הימים הנוראים,990027686690205171,"מגד, אהרן ",אהרן מגד,זכר,2010,חרגול,164,אינני יודע.ת,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, יהודי.ה",דמות מרכזית אחת (ללא דמויות משנה),"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים, טלפון",כן,קשה להגדיר,בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'","ערבית, לטינית, שפות שמיות קדומות",,2,שבוע עד חודש,המחצית השניה של המאה ה-20,"חדר, רחוב, כביש, דרך, שביל, עיר","ישראל (ארץ, מדינה)",,מרכזית,"אהבה, גירושין, סוף החיים, מוות, משפחה",מרכזית,קשה להגדיר,אבות-בנים,שולית,יום כיפור,התאבדות,עבר
KR.Books.0618,עת דודים,,,מירי ורון,נקבה,2008,הקיבוץ המאוחד,253,"רומן אוטוביוגרפי, רומן מכתבים, סאגה משפחתית, רומן פסיכולוגי, רומן חברתי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),מספר עד המעורב בעלילה העיקרית אך אינו יותר מדמות שולית בה,ילדה או נערה,ארבע דמויות מרכזיות ומעלה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,אירועים פשוטים של יומיום,יידיש,,1,כמה עשורים,המחצית הראשונה של המאה ה-20,"דירה, בית מגורים, עיר, כפר","ישראל (ארץ, מדינה)",תל אביב,מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, ילדות, התבגרות, גיל העמידה, סוף החיים, מוות, משפחה, זקנה, יחסים בין-דוריים, מצוקה נפשית, יהדות, ציונות, שואה, מלחמה, פוליטיקה",שולית,"אהבה הגוברת על מכשולים לקראת מימוש מוצלח, אהבה שנעה לקראת כשלון והתפרקות","אבות-בנות, אמהות-בנים, אמהות-בנות",שולית,מלחמת העצמאות,"שיבה טובה, מחלה, מוות במלחמה",
KR.Books.0619,עת הזמיר,990010406210205171,"באר, חיים ",חיים באר,זכר,1987,עם עובד,560,"רומן אוטוביוגרפי, רומן חניכה, סאגה משפחתית, רומן היסטורי, רומן מלחמה, רומן חברתי",הרומן מחולק לפרקים,ארוכות (עשרים ואחד עד שלושים עמודים),"כן, שירים",הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן עלילות רבות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",יידיש,"תנ""ך, ספרות חז""ל (משנה, תלמוד, מדרש), ספרות רבנית; ספרות קבלה וחסידות, ספרות מערבית (אנגלית, צרפתית, גרמנית, רוסית, איטלקית...) מודרנית (מהמאה ה- 19 ועד ימינו)",2,שנה עד עשור,המחצית השניה של המאה ה-20,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה)",ירושלים,מרכזית,"אהבה, הלוויה, שבעה, התבגרות, סוף החיים, מוות, משפחה, יחסים בין-דוריים, מצוקה גופנית, מחלה, בתי חולים, בתי אבות, מוסדות טיפוליים, אלימות פיסית, מילולית, מנטאלית, יהדות, ציונות, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), מוסדות דתיים, עוני ועושר, מוסר (אתיקה, שאלות מוסריות), הסכסוך הישראלי-פלסטיני, יחסי ערבים-יהודים, יחסי דתיים-חילוניים, יחסי מזרחים-אשכנזים, החברה החרדית, הגירה, שואה, נקמה, גאולה (אישית, לאומית, אוניברסלית), משיחיות, צה""ל, מלחמה, ספרות וכתיבה, השכלה (לימודים), פוליטיקה",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,"אבות-בנים, אמהות-בנים",מרכזית,"שואה, מלחמת העצמאות, מבצע קדש, ששת הימים","מחלה, מוות במלחמה",עבר
KR.Books.0620,עתידה,990039582330205171,"טילינגר, רעיה , ",רעיה טילינגר,נקבה,2017,מטר,193,"סאגה משפחתית, רומן פסיכולוגי, רומן חברתי",הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,כמה עשורים,"המחצית הראשונה של המאה ה-20, המאה ה-21",עיר,"ישראל (ארץ, מדינה)",חיפה,מרכזית,"ילדות, התבגרות, גיל העמידה, משפחה, פשע (רצח, שוד, וכו'), נקמה",שולית,,"אבות-בנות, אמהות-בנות",שולית,מלחמת לבנון השנייה,רצח,
KR.Books.0621,פאני וגבריאל,,,נאוה סמל,נקבה,2017,"כנרת, זמורה ביתן",457,סאגה משפחתית,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),"כן, שירים, צילומים",הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),מספר עד הנוכח בעולם הסיפורי אך אינו מעורב בעלילה העיקרית,"אשה, יהודי.ה",שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח רבים יחסית,אירועים פשוטים של יומיום,"אנגלית, יידיש","תנ""ך",1,כמה עשורים,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","דירה, בית מגורים, עיר, קיבוץ","ישראל (ארץ, מדינה), מזרח אירופה ורוסיה, צפון אמריקה (ארצות הברית וקנדה)","בוקובינה, סירט, ניו יורק, תל אביב",מרכזית,"אהבה, נישואין, חתונה, התבגרות, גיל העמידה, סוף החיים, מוות, משפחה, זקנה, יחסים בין-דוריים, יהדות, ציונות, מוסר (אתיקה, שאלות מוסריות), הגירה, מיניות, זהות מינית, יחסי מין",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות","אבות-בנים, סבתות-נכדים, סבים-נכדים",שולית,"מלחמת העולם הראשונה,",שיבה טובה,עבר
KR.Books.0622,פולשת,990040918950205171,,ארנה קזין,נקבה,2017,הקיבוץ המאוחד,196,"בלש, רומן חברתי",הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"אשה, יהודי.ה, לסבית",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים באמצעות מתווכים ושליחים, טלפון, הודעות SMS",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,שבוע עד חודש,המאה ה-21,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר","ישראל (ארץ, מדינה)",תל אביב,שולית,"אהבה, משפחה, אלימות פיסית, מילולית, מנטאלית, פשע (רצח, שוד, וכו'), תלישות, מיניות, זהות מינית, יחסי מין, טבע וסביבה",שולית,"אהבה שנעה לקראת כשלון והתפרקות, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש",אמהות-בנות,אין מלחמה ברומן,,רצח,עבר
KR.Books.0623,פליאה,,,צרויה שלו,נקבה,2021,כתר,277,סאגה משפחתית,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים, מכתבים ומברקים, טלפון, הודעות SMS, ווטסאפ",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,"אקספוזיציה תחילית (מופיעה בתחילת הרומן, כגוש אחד)",בעלילה אירועי-מפתח מעטים,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"תנ""ך, ספרות חז""ל (משנה, תלמוד, מדרש), ספרות רבנית; ספרות קבלה וחסידות, ספרות ישראלית (מ- 1948 ואילך)",1,כמה עשורים,המאה ה-21,"חדר, דירה, בית מגורים, כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), רחוב, כביש, דרך, שביל, עיר, התנחלות, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה)","ישראל (ארץ, מדינה)","ירושלים, חיפה, מעלה אדומים",מרכזית,"אהבה, גירושין, הלוויה, שבעה, ילדות, גיל העמידה, סוף החיים, מוות, משפחה, זקנה, יחסים בין-דוריים, מצוקה גופנית, מחלה, מצוקה נפשית, ציונות, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), מוסר (אתיקה, שאלות מוסריות), יחסי דתיים-חילוניים, תלישות, פיוס והשלמה, צה""ל, טבע וסביבה",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות, אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש","אמהות-בנים, אמהות-בנות",מרכזית,מלחמת השחרור,מחלה,הווה
KR.Books.0624,פליאה,,,צרויה שלו,נקבה,2021,כתר,268,סאגה משפחתית,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,ספרות רבנית; ספרות קבלה וחסידות,1,כמה עשורים,"המחצית הראשונה של המאה ה-20, המאה ה-21","דירה, בית מגורים, עיר","ישראל (ארץ, מדינה)","חיפה, ירושלים, תל-אביב, מעלה אדומים.",מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, גיל העמידה, משפחה, זקנה, יחסים בין-דוריים, ציונות",מרכזית,אהבה נכזבת,"אבות-בנים, אבות-בנות, אמהות-בנים, אמהות-בנות",אין מלחמה ברומן,,מחלה,זמנים דקדוקיים מעורבים
KR.Books.0625,פליאה,,,צרויה שלו,נקבה,2021,כתר,278,סאגה משפחתית,הרומן מחולק לפרקים,בינוניות (אחד-עשר עד עשרים עמודים),"כן, שירים, כן, משלים",הטקסט מחולק לפסקאות ספורות,מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שתי דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים, טלפון, הודעות SMS, ווטסאפ",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירוע-מפתח בולט אחד,"הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",הרומן אינו מייחד מקום משמעותי לשפות אחרות,"ספרות רבנית; ספרות קבלה וחסידות, ספרות ישראלית (מ- 1948 ואילך)",1,ימים,"המחצית השניה של המאה ה-20, המאה ה-21","חדר, דירה, בית מגורים, כלי תחבורה (למשל: מכונית, אוטובוס, משאית, מטוס, חללית וכו'), עיר, התנחלות","ישראל (ארץ, מדינה)","חיפה, מעלה אדומים",מרכזית,"אהבה, נישואין, חתונה, גירושין, הלוויה, שבעה, התבגרות, סוף החיים, מוות, משפחה, זקנה, יחסים בין-דוריים, מצוקה נפשית, יהדות, ציונות, דתיות ורוחניות (במובן של רליגיוזיות, אמונה פנימית), החברה החרדית, גאולה (אישית, לאומית, אוניברסלית), צה""ל, אוניברסיטה, אקדמיה",מרכזית,"אהבה נכזבת, אהבה שנעה לקראת כשלון והתפרקות, קשה להגדיר","אמהות-בנים, אמהות-בנות",אין מלחמה ברומן,,מחלה,הווה
KR.Books.0626,פלמינגו ימי אהבה,,,חוה ניסימוב,נקבה,2019,פרדס,159,"רומן אוטוביוגרפי, רומן היסטורי",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"ילדה או נערה, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים, שירים סיפורים ומחשבות שנכתבים במחברת",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה",הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,שנה עד עשור,"המחצית הראשונה של המאה ה-20, המחצית השניה של המאה ה-20","דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו')","ישראל (ארץ, מדינה), מזרח אירופה ורוסיה","מוסד ״אהבה״ בצפון, תל אביב, ורשה",מרכזית,"אהבה, ילדות, התבגרות, סוף החיים, מוות, משפחה, שיגעון, מצוקה נפשית, תלישות, הגירה, שואה, ספרות וכתיבה, השכלה (לימודים), בית-ספר",מרכזית,אהבה נכזבת,"אמהות-בנות, תלמידות/ים-מורות/ים",מרכזית,העולם השניה,מוות במלחמה,הווה
KR.Books.0627,פנים אל פנים - שעת האפס,990010655590205171,,אבא קובנר,זכר,1953,ספריית פועלים,387,רומן מלחמה,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,"הטקסט מאוורר, עם שורות נפרדות ופסקאות רבות",מספר לא דיאגטי (שאינו נוטל חלק בעולם הסיפורי),,,שלוש דמויות מרכזיות וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'","אנגלית, ערבית, יידיש",,3,שבוע עד חודש,"הקמת המדינה, 1947/8","דירה, בית מגורים, רחוב, כביש, דרך, שביל, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה), תיאור כללי של עיר","ישראל (ארץ, מדינה)","תל אביב, חולדה,ירושלים, כפר אוריה, רחובות",מרכזית,"ציונות, יחסי ערבים-יהודים, גאולה (אישית, לאומית, אוניברסלית), צה""ל, מלחמה",שולית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,"מלחמת תש""ח",מוות במלחמה,עבר
KR.Books.0628,פנתר במרתף,,,עמוס עוז,זכר,1995,כתר,155,"רומן היסטורי, רומן מלחמה",הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, ילד או נער, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים",לא. ברומן שתיים-שלוש עלילות המשתרגות זו בזו,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,"תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",אנגלית,,4,שבוע עד חודש,המחצית הראשונה של המאה ה-20,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו'), עיר, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה)","ישראל (ארץ, מדינה)",ירושלים,מרכזית,"ילדות, משפחה, ציונות, יחסי יהודים - לא-יהודים, שואה, מלחמה, ספרות וכתיבה",אין אהבה ברומן,,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,הסכסוך בין המחתרת והבריטים,המוות אינו מרכזי ברומן,עבר
KR.Books.0629,פנתר במרתף,,,עמוס עוז,זכר,1995,כתר,155,רומן אוטוביוגרפי,הרומן מחולק לפרקים,קצרות (שלושה עד עשרה עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"גבר, ילדה או נערה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אין אירועי-מפתח כלל,"אירועים פשוטים של יומיום, תיאורי נוף, דמויות ואווירה, הפוגות בעלילה לטובת סיכומים היסטוריים, עיוניים פילוסופיים וכד'",אנגלית,"תנ""ך",2,חודשיים עד אחד-עשר חודשים,המחצית הראשונה של המאה ה-20,"חדר, דירה, בית מגורים, רחוב, כביש, דרך, שביל, עיר, איזור טבעי או חקלאי (למשל: יער, מדבר, שדה)","ישראל (ארץ, מדינה)",ירושלים,מרכזית,"ילדות, התבגרות, משפחה, יחסים בין-דוריים, יהדות, ציונות, עוני ועושר, פערים מעמדיים, הסכסוך הישראלי-פלסטיני, יחסי ערבים-יהודים, יחסי יהודים - לא-יהודים, הגירה, מלחמה, מיניות, זהות מינית, יחסי מין, בית-ספר",אין אהבה ברומן,,"אבות-בנים, אמהות-בנים",מרכזית,"לקראת 48, וההתנגדות לבריטים",המוות אינו מרכזי ברומן,עבר
KR.Books.0630,פצע,,,עדי אבלס,זכר,2009,עם עובד,344,"סאגה משפחתית, רומן חברתי, ניסיון להתמודד עם מושג השקר בחברה",הרומן מחולק לפרקים,ארוכות מאוד (שלושים ואחד עמודים ומעלה),לא,הטקסט מחולק לפסקאות ספורות,מספרים מתחלפים,,,דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, דיאלוגים מדומיינים, טלפון",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח מעטים,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,1,חודשיים עד אחד-עשר חודשים,המאה ה-21,"דירה, בית מגורים, מבנה, מוסד או אתר ציבורי (למשל: בית משפט, אתר נופש, אוניברסיטה, בית חרושת, בית כנסת, בית ספר, מחנה נוער וכו')","ישראל (ארץ, מדינה)",תל אביב,שולית,"אהבה, נישואין, חתונה, גירושין, מצוקה נפשית, מוסר (אתיקה, שאלות מוסריות)",מרכזית,אהבה העומדת במתח בלתי-פתור בין מימוש לאי-מימוש,יחסים בין דוריים אינם מרכזיים ברומן,מרכזית,מלחמה על גילוי האמת הפנימית,המוות אינו מרכזי ברומן,הווה
KR.Books.0631,פרא אציל,990050280670205171,"בוסי, דודו ",דודו בוסי,זכר,2003,כתר,270,סאגה משפחתית,הרומן מחולק לחלקים/שערים/כרכים ובתוכם פרקים,בינוניות (אחד-עשר עד עשרים עמודים),לא,הטקסט מחולק לפסקאות ספורות,מספר דיאגטי (הנוטל חלק בעולם הסיפורי כדמות או כעד),המספר הוא הדמות המרכזית בעלילה,"ילד או נער, יהודי.ה",דמות מרכזית אחת וכמה דמויות משנה,"דיאלוגים ישירים, פנים אל פנים, מכתבים ומברקים, טלפון",כן,אקספוזיציה מפוזרת (חומרי האקספוזיציה מופיעים במקומות שונים ברומן),בעלילה אירועי-מפתח רבים יחסית,אירועים פשוטים של יומיום,הרומן אינו מייחד מקום משמעותי לשפות אחרות,,2,שנה עד עשור,המחצית השניה של המאה ה-20,"חדר, דירה, בית מגורים, רחוב, כביש, דרך, שביל","ישראל (ארץ, מדינה)",שכונת הארגזים בתל אביב,מרכזית,"התבגרות, משפחה, שיגעון, יחסים בין-דוריים, מצוקה גופנית, מחלה, מצוקה נפשית, אלימות פיסית, מילולית, מנטאלית, פשע (רצח, שוד, וכו'), עוני ועושר, פערים מעמדיים, יחסי מזרחים-אשכנזים, גאולה (אישית, לאומית, אוניברסלית), פיוס והשלמה, מיניות, זהות מינית, יחסי מין, ספרות וכתיבה",מרכזית,קשה להגדיר,"אבות-בנים, אמהות-בנים",אין מלחמה ברומן,,התאבדות,
